Thread ID: 2148303280
Total: 0.021298

 %self     total     self     wait    child    calls  name
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#compute_asset_host
  0.08      0.01     0.00     0.00     0.01        1  ActionController::Base#perform_action_without_filters
  0.08      0.00     0.00     0.00     0.00        3  ActionView::Helpers::FormBuilder#objectify_options
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Helpers::FormTagHelper#extra_tags_for_form
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Response#prepare!
  0.08      0.00     0.00     0.00     0.00        6  Kernel#String
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#request_origin
  0.08      0.00     0.00     0.00     0.00        2  ActionController::RecordIdentifier#dom_class
  0.08      0.02     0.00     0.00     0.02        1  ActionController::Dispatcher#dispatch
  0.08      0.00     0.00     0.00     0.00        1  ActiveRecord::Base#attributes_from_column_definition_without_lock
  0.08      0.00     0.00     0.00     0.00        7  Kernel#inspect
  0.08      0.01     0.00     0.00     0.01        2  ActionView::Renderable#render_without_template_tracking
  0.08      0.00     0.00     0.00     0.00        1  ActiveSupport::Inflector#constantize
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Flash::InstanceMethods#flash
  0.08      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#checkin_callback_chain
  0.08      0.00     0.00     0.00     0.00        2  ActionController::Request#parameters
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Flash::FlashHash#sweep
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#stale_session_check!
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#complete_request_uri
  0.08      0.00     0.00     0.00     0.00        1  Rack::Response#to_a
  0.08      0.00     0.00     0.00     0.00        2  ActiveRecord::Errors#on
  0.08      0.00     0.00     0.00     0.00        7  Fixnum#to_s
  0.08      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#scoped_methods
  0.08      0.00     0.00     0.00     0.00        1  ActionController::MimeResponds::Responder#xml
  0.08      0.00     0.00     0.00     0.00        1  ActiveRecord::Locking::Optimistic#attributes_from_column_definition
  0.08      0.00     0.00     0.00     0.00        2  ActionController::Request#method
  0.08      0.00     0.00     0.00     0.00       10  Array#+
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize
  0.08      0.00     0.00     0.00     0.00        1  <Module::Rack::Utils>#parse_query
  0.08      0.00     0.00     0.00     0.00        8  Fixnum#>=
  0.07      0.00     0.00     0.00     0.00        1  Module#append_features
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Layout#action_has_layout?
  0.07      0.00     0.00     0.00     0.00        4  <Class::ActionController::Base>#relative_url_root
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Base#_evaluate_assigns_and_ivars
  0.07      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#descends_from_active_record?
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Helpers::FormBuilder#initialize
  0.07      0.02     0.00     0.00     0.02        1  ActiveRecord::ConnectionAdapters::ConnectionManagement#call
  0.07      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Array::Wrapper#wrap
  0.07      0.02     0.00     0.00     0.02        1  ActionController::Routing::RouteSet#call
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Response#nonempty_ok_response?
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Response#assign_default_content_type_and_charset!
  0.07      0.00     0.00     0.00     0.00        2  ActionController::Session::CookieStore#persistent_session_id!
  0.07      0.00     0.00     0.00     0.00        5  Array#*
  0.07      0.00     0.00     0.00     0.00        2  ActionController::PolymorphicRoutes#extract_record
  0.07      0.00     0.00     0.00     0.00        7  Array#compact
  0.07      0.00     0.00     0.00     0.00       11  Class#superclass
  0.07      0.00     0.00     0.00     0.00        5  NilClass#blank?
  0.07      0.00     0.00     0.00     0.00        4  Rack::Request#initialize
  0.07      0.00     0.00     0.00     0.00        3  Array#collect
  0.07      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::ConnectionPool#connected?
  0.07      0.00     0.00     0.00     0.00        5  ActiveRecord::Validations#errors
  0.07      0.00     0.00     0.00     0.00        6  Array#first
  0.07      0.01     0.00     0.00     0.01        3  Kernel#send(d1)
  0.07      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#connected?
  0.07      0.00     0.00     0.00     0.00        8  Hash#regular_writer
  0.07      0.00     0.00     0.00     0.00        2  Rack::Utils::HeaderHash#initialize
  0.07      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::AbstractAdapter#reset_runtime
  0.07      0.00     0.00     0.00     0.00        1  ActionController::ProcessWithTest#set_test_assigns
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize_without_template_tracking
  0.07      0.00     0.00     0.00     0.00        4  Module#const_defined?
  0.07      0.00     0.00     0.00     0.00        2  Array#map
  0.07      0.00     0.00     0.00     0.00        4  ActionView::Helpers::InstanceTag#sanitized_method_name
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#stylesheet_tag
  0.07      0.02     0.00     0.00     0.02        1  Rack::Head#call
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Response#content_type=
  0.07      0.00     0.00     0.00     0.00       16  Fixnum#<=>
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#rewrite_asset_path
  0.07      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#checkin_callback_chain(d1)
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Response#etag=
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base#view_paths=
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Helpers::FormTagHelper#form_tag
  0.07      0.00     0.00     0.00     0.00        4  ActionView::Base#template=
  0.07      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Time::Conversions#to_s
  0.07      0.00     0.00     0.00     0.00        5  Array#sort
  0.07      0.00     0.00     0.00     0.00        4  ActiveSupport::CoreExtensions::Module#model_name
  0.07      0.00     0.00     0.00     0.00        1  Rack::Lint#check_headers
  0.06      0.00     0.00     0.00     0.00        2  ActionController::Base#controller_path
  0.06      0.00     0.00     0.00     0.00        5  <Class::Thing(id: integer, name: string, created_at: datetime, updated_at: datetime)>#primary_key
  0.06      0.00     0.00     0.00     0.00        2  Kernel#extend
  0.06      0.00     0.00     0.00     0.00        9  String#strip
  0.06      0.00     0.00     0.00     0.00        2  ActionView::Helpers::InstanceTag#tag_id
  0.06      0.00     0.00     0.00     0.00        2  ActionView::Helpers::InstanceTag#tag_name
  0.06      0.00     0.00     0.00     0.00        1  Class#new_without_capture
  0.06      0.00     0.00     0.00     0.00        6  Object#initialize
  0.06      0.02     0.00     0.00     0.02        1  ActionController::ParamsParser#call
